epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,39.4131,1.36251,3.32495,1.38131,0.00714,1,0.34638,0.17825,0.99576,3.15914,1.19972,6e-05,6e-05,6e-05
2,74.8867,1.3337,2.76915,1.30535,0.00714,1,0.49495,0.15537,1.13318,3.27019,1.29675,0.00013307,0.00013307,0.00013307
3,110.078,1.30946,2.20473,1.20745,0.00714,1,0.57105,0.26382,1.30621,2.99591,1.29728,0.00019822,0.00019822,0.00019822
4,147.973,1.3538,1.68919,1.21405,1,0.33349,0.70635,0.46615,1.15224,2.64225,1.19331,0.00025545,0.00025545,0.00025545
5,202.59,1.0367,1.63404,1.13135,0.80764,0.56135,0.73417,0.49649,1.15319,2.60277,1.18322,0.00030476,0.00030476,0.00030476
6,256.541,1.25894,1.77916,1.20465,0.48151,0.73333,0.72973,0.40933,1.13024,2.69767,1.143,0.00034615,0.00034615,0.00034615
7,291.956,1.30677,1.8312,1.21222,0.01222,0.93333,0.74965,0.40161,1.16792,2.77725,1.16419,0.00037962,0.00037962,0.00037962
8,332.429,1.2417,1.97526,1.21456,0.00714,1,0.76656,0.40612,1.30694,2.7931,1.28516,0.00040517,0.00040517,0.00040517
9,366.451,1.24744,1.60459,1.26307,0.00714,1,0.75899,0.45303,1.39683,2.73386,1.40028,0.0004228,0.0004228,0.0004228
10,403.402,0.97855,1.68675,1.08549,0.00714,1,0.78405,0.44886,1.41511,2.68582,1.45831,0.00043251,0.00043251,0.00043251
11,439.885,1.2015,1.80222,1.24286,0.03064,0.93333,0.62574,0.29764,1.48945,2.75408,1.57655,0.0004343,0.0004343,0.0004343
12,469.562,1.20007,1.70371,1.17942,0.8583,0.40433,0.66754,0.3262,1.52363,2.71355,1.56629,0.00042817,0.00042817,0.00042817
13,499.955,1.02916,1.97257,1.22411,1,0.26038,0.75673,0.45849,1.34728,2.63145,1.3159,0.00041412,0.00041412,0.00041412
14,529.639,1.02907,1.59674,1.10499,1,0.34192,0.78324,0.50171,1.32504,2.51361,1.31394,0.00039215,0.00039215,0.00039215
15,557.97,0.92784,1.48061,1.09358,1,0.49434,0.82296,0.49412,1.38555,2.36879,1.41357,0.00036226,0.00036226,0.00036226
16,585.208,0.94033,1.51759,1.07471,1,0.55065,0.83186,0.47925,1.43801,2.35516,1.50938,0.00032445,0.00032445,0.00032445
17,613.921,0.89023,1.36106,0.99831,0.93897,0.53333,0.82235,0.48976,1.43395,2.29671,1.55834,0.00027872,0.00027872,0.00027872
18,643.814,1.00381,1.25124,1.00009,0.96668,0.6,0.7912,0.47372,1.35426,2.23185,1.50197,0.00022507,0.00022507,0.00022507
19,673.38,1.04945,1.39155,1.09879,1,0.63732,0.76528,0.46683,1.34728,2.18899,1.47556,0.0001635,0.0001635,0.0001635
20,700.33,1.02988,1.2601,1.09951,1,0.63729,0.7722,0.4835,1.33245,2.16619,1.44086,9.401e-05,9.401e-05,9.401e-05
